PERIOD_MA_1,PERIOD_MA_2,TURBULENCE
30,300,15
40,300,15
50,300,15
60,300,15
70,300,15
80,300,15
90,300,15
100,300,15
110,300,15
120,300,15
130,300,15
140,300,15
150,300,15
160,300,15
170,300,15
180,300,15
190,300,15
30,350,15
40,350,15
50,350,15
60,350,15
70,350,15
80,350,15
90,350,15
100,350,15
110,350,15
120,350,15
130,350,15
140,350,15
150,350,15
160,350,15
170,350,15
180,350,15
190,350,15
30,400,15
40,400,15
50,400,15
60,400,15
70,400,15
80,400,15
90,400,15
100,400,15
110,400,15
120,400,15
130,400,15
140,400,15
150,400,15
160,400,15
170,400,15
180,400,15
190,400,15
30,450,15
40,450,15
50,450,15
60,450,15
70,450,15
80,450,15
90,450,15
100,450,15
110,450,15
120,450,15
130,450,15
140,450,15
150,450,15
160,450,15
170,450,15
180,450,15
190,450,15
30,500,15
40,500,15
50,500,15
60,500,15
70,500,15
80,500,15
90,500,15
100,500,15
110,500,15
120,500,15
130,500,15
140,500,15
150,500,15
160,500,15
170,500,15
180,500,15
190,500,15
30,550,15
40,550,15
50,550,15
60,550,15
70,550,15
80,550,15
90,550,15
100,550,15
110,550,15
120,550,15
130,550,15
140,550,15
150,550,15
160,550,15
170,550,15
180,550,15
190,550,15
30,600,15
40,600,15
50,600,15
60,600,15
70,600,15
80,600,15
90,600,15
100,600,15
110,600,15
120,600,15
130,600,15
140,600,15
150,600,15
160,600,15
170,600,15
180,600,15
190,600,15
30,650,15
40,650,15
50,650,15
60,650,15
70,650,15
80,650,15
90,650,15
100,650,15
110,650,15
120,650,15
130,650,15
140,650,15
150,650,15
160,650,15
170,650,15
180,650,15
190,650,15
30,700,15
40,700,15
50,700,15
60,700,15
70,700,15
80,700,15
90,700,15
100,700,15
110,700,15
120,700,15
130,700,15
140,700,15
150,700,15
160,700,15
170,700,15
180,700,15
190,700,15
30,750,15
40,750,15
50,750,15
60,750,15
70,750,15
80,750,15
90,750,15
100,750,15
110,750,15
120,750,15
130,750,15
140,750,15
150,750,15
160,750,15
170,750,15
180,750,15
190,750,15
30,800,15
40,800,15
50,800,15
60,800,15
70,800,15
80,800,15
90,800,15
100,800,15
110,800,15
120,800,15
130,800,15
140,800,15
150,800,15
160,800,15
170,800,15
180,800,15
190,800,15
30,850,15
40,850,15
50,850,15
60,850,15
70,850,15
80,850,15
90,850,15
100,850,15
110,850,15
120,850,15
130,850,15
140,850,15
150,850,15
160,850,15
170,850,15
180,850,15
190,850,15
30,900,15
40,900,15
50,900,15
60,900,15
70,900,15
80,900,15
90,900,15
100,900,15
110,900,15
120,900,15
130,900,15
140,900,15
150,900,15
160,900,15
170,900,15
180,900,15
190,900,15
30,950,15
40,950,15
50,950,15
60,950,15
70,950,15
80,950,15
90,950,15
100,950,15
110,950,15
120,950,15
130,950,15
140,950,15
150,950,15
160,950,15
170,950,15
180,950,15
190,950,15
30,1000,15
40,1000,15
50,1000,15
60,1000,15
70,1000,15
80,1000,15
90,1000,15
100,1000,15
110,1000,15
120,1000,15
130,1000,15
140,1000,15
150,1000,15
160,1000,15
170,1000,15
180,1000,15
190,1000,15
30,1050,15
40,1050,15
50,1050,15
60,1050,15
70,1050,15
80,1050,15
90,1050,15
100,1050,15
110,1050,15
120,1050,15
130,1050,15
140,1050,15
150,1050,15
160,1050,15
170,1050,15
180,1050,15
190,1050,15
30,1100,15
40,1100,15
50,1100,15
60,1100,15
70,1100,15
80,1100,15
90,1100,15
100,1100,15
110,1100,15
120,1100,15
130,1100,15
140,1100,15
150,1100,15
160,1100,15
170,1100,15
180,1100,15
190,1100,15
