file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20250822.xlsx,7011,10,30,300,-11.0
ticks_20250822.xlsx,7011,4,45,300,-27.0
ticks_20250822.xlsx,7011,6,60,300,-24.0
ticks_20250822.xlsx,7011,6,75,300,-30.0
ticks_20250822.xlsx,7011,2,90,300,-13.0
ticks_20250822.xlsx,7011,2,105,300,-11.0
ticks_20250822.xlsx,7011,2,120,300,6.0
ticks_20250822.xlsx,7011,2,135,300,-12.0
ticks_20250822.xlsx,7011,2,150,300,-11.0
ticks_20250822.xlsx,7011,0,165,300,0.0
ticks_20250822.xlsx,7011,4,180,300,-2.0
ticks_20250822.xlsx,7011,6,30,360,-22.0
ticks_20250822.xlsx,7011,8,45,360,-9.0
ticks_20250822.xlsx,7011,6,60,360,-29.0
ticks_20250822.xlsx,7011,8,75,360,-16.0
ticks_20250822.xlsx,7011,0,90,360,0.0
ticks_20250822.xlsx,7011,2,105,360,-3.0
ticks_20250822.xlsx,7011,0,120,360,0.0
ticks_20250822.xlsx,7011,0,135,360,0.0
ticks_20250822.xlsx,7011,0,150,360,0.0
ticks_20250822.xlsx,7011,2,165,360,18.0
ticks_20250822.xlsx,7011,2,180,360,-7.0
ticks_20250822.xlsx,7011,6,30,420,-21.0
ticks_20250822.xlsx,7011,8,45,420,-7.0
ticks_20250822.xlsx,7011,8,60,420,-29.0
ticks_20250822.xlsx,7011,6,75,420,-32.0
ticks_20250822.xlsx,7011,2,90,420,-11.0
ticks_20250822.xlsx,7011,2,105,420,-11.0
ticks_20250822.xlsx,7011,0,120,420,0.0
ticks_20250822.xlsx,7011,4,135,420,-6.0
ticks_20250822.xlsx,7011,0,150,420,0.0
ticks_20250822.xlsx,7011,0,165,420,0.0
ticks_20250822.xlsx,7011,2,180,420,-6.0
ticks_20250822.xlsx,7011,6,30,480,12.0
ticks_20250822.xlsx,7011,6,45,480,11.0
ticks_20250822.xlsx,7011,8,60,480,-21.0
ticks_20250822.xlsx,7011,8,75,480,-24.0
ticks_20250822.xlsx,7011,2,90,480,-13.0
ticks_20250822.xlsx,7011,2,105,480,-14.0
ticks_20250822.xlsx,7011,2,120,480,-12.0
ticks_20250822.xlsx,7011,2,135,480,-3.0
ticks_20250822.xlsx,7011,2,150,480,-2.0
ticks_20250822.xlsx,7011,0,165,480,0.0
ticks_20250822.xlsx,7011,2,180,480,-7.0
ticks_20250822.xlsx,7011,6,30,540,13.0
ticks_20250822.xlsx,7011,6,45,540,11.0
ticks_20250822.xlsx,7011,6,60,540,-25.0
ticks_20250822.xlsx,7011,4,75,540,-18.0
ticks_20250822.xlsx,7011,2,90,540,-10.0
ticks_20250822.xlsx,7011,2,105,540,-13.0
ticks_20250822.xlsx,7011,2,120,540,-14.0
ticks_20250822.xlsx,7011,4,135,540,-19.0
ticks_20250822.xlsx,7011,0,150,540,0.0
ticks_20250822.xlsx,7011,0,165,540,0.0
ticks_20250822.xlsx,7011,4,180,540,-8.0
ticks_20250822.xlsx,7011,6,30,600,10.0
ticks_20250822.xlsx,7011,4,45,600,-1.0
ticks_20250822.xlsx,7011,6,60,600,-24.0
ticks_20250822.xlsx,7011,4,75,600,-18.0
ticks_20250822.xlsx,7011,2,90,600,-10.0
ticks_20250822.xlsx,7011,2,105,600,-15.0
ticks_20250822.xlsx,7011,2,120,600,-15.0
ticks_20250822.xlsx,7011,4,135,600,-24.0
ticks_20250822.xlsx,7011,0,150,600,0.0
ticks_20250822.xlsx,7011,0,165,600,0.0
ticks_20250822.xlsx,7011,4,180,600,-13.0
ticks_20250822.xlsx,7011,8,30,660,12.0
ticks_20250822.xlsx,7011,4,45,660,-2.0
ticks_20250822.xlsx,7011,8,60,660,-19.0
ticks_20250822.xlsx,7011,6,75,660,-13.0
ticks_20250822.xlsx,7011,4,90,660,-5.0
ticks_20250822.xlsx,7011,4,105,660,-14.0
ticks_20250822.xlsx,7011,4,120,660,-14.0
ticks_20250822.xlsx,7011,6,135,660,-29.0
ticks_20250822.xlsx,7011,2,150,660,-4.0
ticks_20250822.xlsx,7011,4,165,660,-7.0
ticks_20250822.xlsx,7011,8,180,660,-27.0
ticks_20250822.xlsx,7011,8,30,720,12.0
ticks_20250822.xlsx,7011,4,45,720,-1.0
ticks_20250822.xlsx,7011,8,60,720,-25.0
ticks_20250822.xlsx,7011,6,75,720,-20.0
ticks_20250822.xlsx,7011,4,90,720,-12.0
ticks_20250822.xlsx,7011,4,105,720,-16.0
ticks_20250822.xlsx,7011,4,120,720,-16.0
ticks_20250822.xlsx,7011,6,135,720,-29.0
ticks_20250822.xlsx,7011,2,150,720,-4.0
ticks_20250822.xlsx,7011,2,165,720,-3.0
ticks_20250822.xlsx,7011,8,180,720,-29.0
ticks_20250822.xlsx,7011,6,30,780,6.0
ticks_20250822.xlsx,7011,4,45,780,-9.0
ticks_20250822.xlsx,7011,8,60,780,-28.0
ticks_20250822.xlsx,7011,6,75,780,-23.0
ticks_20250822.xlsx,7011,4,90,780,-20.0
ticks_20250822.xlsx,7011,4,105,780,-26.0
ticks_20250822.xlsx,7011,2,120,780,-15.0
ticks_20250822.xlsx,7011,6,135,780,-28.0
ticks_20250822.xlsx,7011,2,150,780,-3.0
ticks_20250822.xlsx,7011,2,165,780,-4.0
ticks_20250822.xlsx,7011,6,180,780,-20.0
ticks_20250822.xlsx,7011,6,30,840,-3.0
ticks_20250822.xlsx,7011,2,45,840,-6.0
ticks_20250822.xlsx,7011,10,60,840,-38.0
ticks_20250822.xlsx,7011,4,75,840,-18.0
ticks_20250822.xlsx,7011,2,90,840,-10.0
ticks_20250822.xlsx,7011,2,105,840,-15.0
ticks_20250822.xlsx,7011,2,120,840,-15.0
ticks_20250822.xlsx,7011,6,135,840,-28.0
ticks_20250822.xlsx,7011,2,150,840,-5.0
ticks_20250822.xlsx,7011,2,165,840,-4.0
ticks_20250822.xlsx,7011,6,180,840,-22.0
ticks_20250822.xlsx,7011,8,30,900,-13.0
ticks_20250822.xlsx,7011,4,45,900,-12.0
ticks_20250822.xlsx,7011,6,60,900,-24.0
ticks_20250822.xlsx,7011,4,75,900,-18.0
ticks_20250822.xlsx,7011,2,90,900,-10.0
ticks_20250822.xlsx,7011,2,105,900,-15.0
ticks_20250822.xlsx,7011,2,120,900,-15.0
ticks_20250822.xlsx,7011,6,135,900,-30.0
ticks_20250822.xlsx,7011,2,150,900,-6.0
ticks_20250822.xlsx,7011,2,165,900,-7.0
ticks_20250822.xlsx,7011,6,180,900,-22.0
